Id,ActivityID,ActivityName,MemberName,Points,Timestamp 
2,64,BoD HC Raid 4,Fanamvp-Kazzak,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Eiloren-Khadgar,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Impure-KulTiras,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Wahshie-TarrenMill,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Unordinary-Kazzak,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Swestenqt-Kazzak,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Bibixd-Kazzak,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Mexiken-KulTiras,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Vetto-Alonsus,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Chuun-Doomhammer,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Majerai-KulTiras,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Dreadblossom-Draenor,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Baraqx-Ravencrest,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Victoria-Executus,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Orogoth-Draenor,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Vinzzu-Zenedar,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Zooboo-BurningBlade,5,24/03/19 21:01:26
2,64,BoD HC Raid 4,Maskena-TarrenMill,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Wargodstompy-TarrenMill,10,24/03/19 21:01:26
2,64,BoD HC Raid 4,Alixy-Kor'gall,5,24/03/19 21:01:26
2,64,BoD HC Raid 4,Telnas-TarrenMill,10,24/03/19 21:01:26
